device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,check,passed,detail,severity
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,P1_equals_forced,True,0.03186 == 0.03186,required
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,energy_P2_le_P2prime,True,0.0586776395 <= 0.0587288159,required
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,energy_P2prime_le_P3,True,0.0587288159 <= 0.0587885128,diagnostic
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,energy_P2_le_P0,True,0.0586776395 <= 0.0703843293,required
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,energy_P0_le_P1,True,0.0703843293 <= 0.0756622778,required
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19949,0.3708761472322628,3203.0,6797.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
