device,rho,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,boost_use_rate_good_mean,boost_use_rate_good_std,boost_use_rate_bad_mean,boost_use_rate_bad_std
device_0,0.0,1.35,0.1,drop,P1,0.06377209715843724,0.00010969663529838828,0.004967,0.0002052126268586374,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.053113999999999995,0.0005698771797501645,0.0,0.0,0.2654684620858283,0.0033522759527105607
device_0,0.0,1.35,0.1,drop,P2,0.04364639850344409,0.00012416045120190112,0.1,0.0,4.5,0.5270462766947299,902.6,37.0681054876621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
device_0,0.0,1.35,0.1,drop,P2prime,0.043963993735985384,0.00012090349612376489,0.1,0.0,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.0032619999999999997,0.00010982814858779234,0.0,0.0,0.01630462533505548,0.0005857510054463343
device_0,0.0,1.35,0.1,late,P0,0.062545161846265,0.00011814819358058709,0.1,0.0,5.2,0.9189365834726815,888.8,12.09958676980334,0.23553000000000002,0.005754042057545291,0.048133999999999996,0.0006180471035626839,0.0,0.0,0.24057903217758653,0.003551278879708137
device_0,0.0,1.35,0.1,late,P1,0.06456700322621456,0.000122613540599258,0.004967,0.0002052126268586374,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.053113999999999995,0.0005698771797501645,0.0,0.0,0.2654684620858283,0.0033522759527105607
device_0,0.0,1.35,0.1,late,P2,0.053581311021322464,0.00013035874813495933,0.1,0.0,4.8,0.7888106377466155,896.2,20.0986456149552,0.8845000000000001,0.003054686745168965,0.0,0.0,0.0,0.0,0.0,0.0
device_0,0.0,1.35,0.1,late,P2prime,0.053792424848257206,0.000128009409909053,0.1,0.0,2.0,0.0,2.2,1.1352924243950933,0.8993499999999999,0.0026013885181230185,0.0032619999999999997,0.00010982814858779234,0.0,0.0,0.01630462533505548,0.0005857510054463343
device_0,0.0,1.35,0.15,drop,P0,0.05447641159203476,0.00012971533249915576,0.15,0.0,5.8,0.7888106377466155,1897.7,47.00366415976997,0.22326666666666667,0.0032213792000659056,0.045382,0.00047939313488803547,0.0,0.0,0.22682335025340244,0.0028385493756978254
device_0,0.0,1.35,0.15,drop,P1,0.06377209715843724,0.00010969663529838828,0.004967,0.0002052126268586374,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.053113999999999995,0.0005698771797501645,0.0,0.0,0.2654684620858283,0.0033522759527105607
device_0,0.0,1.35,0.15,drop,P2,0.03581591026111549,0.00012214764996369684,0.15,0.0,5.6,0.5163977794943222,1899.8,45.854358813772805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
device_0,0.0,1.35,0.15,drop,P2prime,0.03618939884791597,0.00011901225094072641,0.15,0.0,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.0032619999999999997,0.00010982814858779234,0.0,0.0,0.01630462533505548,0.0005857510054463343
device_0,0.0,1.35,0.15,late,P0,0.06147530176156124,0.00012776764987026547,0.15,0.0,5.6,0.6992058987801009,1882.9,29.763698993535375,0.22212666666666667,0.0056446587885811295,0.04553,0.0005428730156409619,0.0,0.0,0.22756344847346033,0.003149932981024068
device_0,0.0,1.35,0.15,late,P1,0.06456700322621456,0.000122613540599258,0.004967,0.0002052126268586374,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.053113999999999995,0.0005698771797501645,0.0,0.0,0.2654684620858283,0.0033522759527105607
device_0,0.0,1.35,0.15,late,P2,0.04970667295822776,0.0001295609430080247,0.15,0.0,6.0,0.816496580927726,1903.8,22.5082700850648,0.8943666666666668,0.003702685045100374,0.0,0.0,0.0,0.0,0.0,0.0
device_0,0.0,1.35,0.15,late,P2prime,0.050066287704754776,0.00012664474260326193,0.15,0.0,2.0,0.0,2.2,1.1352924243950933,0.8165133333333333,0.003087217773375737,0.0032619999999999997,0.00010982814858779234,0.0,0.0,0.01630462533505548,0.0005857510054463343
