device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,policy,local_mode,channel_state,slot_count,use_count,use_rate
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,normal,Bad,2041,93,0.04556589906908378
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,boost,all,10000,1428,0.1428
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,boost,Bad,2041,1428,0.699657030867222
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2,normal,all,10000,8064,0.8064
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2,normal,Bad,2041,105,0.0514453699167075
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2,boost,all,10000,436,0.0436
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2,boost,Bad,2041,436,0.21362077413032826
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2prime,normal,all,10000,8064,0.8064
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2prime,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2prime,normal,Bad,2041,105,0.0514453699167075
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2prime,boost,all,10000,436,0.0436
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2prime,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P2prime,boost,Bad,2041,436,0.21362077413032826
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P3,normal,all,10000,7989,0.7989
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P3,normal,Good,7959,7887,0.9909536373916321
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P3,normal,Bad,2041,102,0.04997550220480157
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P3,boost,all,10000,510,0.051
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P3,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P3,boost,Bad,2041,510,0.24987751102400785
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,normal,all,10000,8390,0.839
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,normal,Bad,2041,431,0.21117099461048505
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,boost,all,10000,1610,0.161
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,boost,Bad,2041,1610,0.788829005389515
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,normal,all,10000,8602,0.8602
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,normal,Bad,2041,643,0.31504164625183734
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,boost,all,10000,1398,0.1398
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,boost,Bad,2041,1398,0.6849583537481627
