device,L,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,selected_v_mean,selected_v_std
device_0,5,1.5,0.05,drop,P0,0.05945856,0.0009506105625333679,0.05000000000000001,0.0,3.3333333333333335,0.5773502691896257,25.0,1.7320508075688772,0.21266666666666667,0.017473789896108222,,
device_0,5,1.5,0.05,drop,P1,0.06267066666666667,0.0008507841440302796,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,5,1.5,0.05,drop,P2,0.05423066666666667,0.0008507841440302844,0.05000000000000001,0.0,22.666666666666668,6.027713773341708,79.33333333333333,7.505553499465135,1.0,0.0,,
device_0,5,1.5,0.05,drop,P2prime,0.05423066666666667,0.0008507841440302844,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,5,1.5,0.05,drop,P3,0.054297066666666664,0.0008533713258209034,0.05000000000000001,0.0,9.666666666666666,4.163331998932266,93.66666666666667,5.131601439446884,0.9899999999999999,0.0020000000000000018,100.0,0.0
device_0,5,1.5,0.05,late,P0,0.06243176,0.0008458798363833982,0.05000000000000001,0.0,2.6666666666666665,0.5773502691896258,25.0,0.0,0.19266666666666665,0.01604161255402129,,
device_0,5,1.5,0.05,late,P1,0.06267066666666667,0.0008507841440302796,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,5,1.5,0.05,late,P2,0.06143066666666666,0.0008507841440302844,0.05000000000000001,0.0,22.666666666666668,6.027713773341708,79.33333333333333,7.505553499465135,1.0,0.0,,
device_0,5,1.5,0.05,late,P2prime,0.06143066666666666,0.0008507841440302844,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,5,1.5,0.05,late,P3,0.06143066666666666,0.0008507841440302844,0.05000000000000001,0.0,15.666666666666666,7.637626158259733,96.33333333333333,8.082903768654761,1.0,0.0,1000.0,0.0
device_0,5,1.5,0.1,drop,P0,0.056304,0.0007274967755255057,0.10000000000000002,0.0,3.6666666666666665,0.5773502691896258,88.0,8.660254037844387,0.20833333333333334,0.010408329997330665,,
device_0,5,1.5,0.1,drop,P1,0.06267066666666667,0.0008507841440302796,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,5,1.5,0.1,drop,P2,0.04579066666666667,0.0008507841440302834,0.10000000000000002,0.0,26.666666666666668,6.658328118479393,156.0,9.848857801796104,1.0,0.0,,
device_0,5,1.5,0.1,drop,P2prime,0.04579066666666667,0.0008507841440302746,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,5,1.5,0.1,drop,P3,0.04598543999999999,0.0009378162617485391,0.10000000000000002,0.0,13.333333333333334,2.0816659994661326,207.66666666666666,4.041451884327382,0.9853333333333333,0.007767453465154001,100.0,0.0
