device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,5,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.196,0.7394474346423828,0,1000,57ae37577e7e56c9d4712b314557937eda2caea6e2e31a6815660a5ba3cccc50
device_0,5,1701,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.196,0.7394474346423828,0,100,34cd6590361ebf0133cbd2efec71be611c2d1eaae0354cb96d23ceb08e1117cd
device_0,5,1701,2.0,72.09,0.01,late,40.0,10.0,4.0,0.196,0.7394474346423828,0,100,413b9b8c665c3532342f444cb58e081c4932b73dd10614bc8c98a2700bce23cc
device_0,5,1701,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.196,0.7394474346423828,0,500,da974b533b239fc1f2a2b2eb055046251822da5a9e9ca9bcd0fcac6606364709
device_0,5,1701,2.0,72.09,0.05,late,40.0,10.0,4.0,0.196,0.7394474346423828,0,500,c286479d0047fbe88b5e5be1406e5bcd73579d556ae6a592401b8dbaa18831a3
device_0,5,1701,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.196,0.7394474346423828,0,1000,ed5530dd0b295e538f5ebe56d9f19383e491aad910e24e6397c523dee2f59e7b
device_0,5,1701,2.0,72.09,0.1,late,40.0,10.0,4.0,0.196,0.7394474346423828,0,1000,fa9d1f9de9b07531fc4056a5714de96a869e4b26f36b7b88608132e01ac5f8a9
device_0,5,1702,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2081,0.7524122495851582,0,100,28b0e452fd9e5153207111e0c62054832dcc4119f457a678b1ddd6b9b07bbb8c
device_0,5,1702,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2081,0.7524122495851582,0,100,c7bbd24329535e9c3684e4890e4a539c60aa296f160412ff3718753d26f4f7d0
device_0,5,1702,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2081,0.7524122495851582,0,500,521dcff081bc9370c3fc8f6aeaea24c245da2e0f70823c46de3ff99cbf61ac57
device_0,5,1702,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2081,0.7524122495851582,0,500,de059836430b7b1fca679cc184e84d4d78f7bdd1586737715b4dd21230e50117
device_0,5,1702,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2081,0.7524122495851582,0,1000,37f1bb0ccd85509f11e9629247fa5773dd0af1754e91794481a075e499c84ebe
