device,L,deadline_ratio,epsilon,skip_mode,discard_gain_percent_mean,discard_gain_percent_std,targeting_gain_percent_mean,targeting_gain_percent_std,oracle_gap_percent_mean,oracle_gap_percent_std,online_recovery_mean,online_recovery_std,p2prime_gap_percent_mean,p2prime_gap_percent_std,pi_bad_observed_mean,pi_bad_observed_std,lag1_autocorr_mean,lag1_autocorr_std
device_0,5,1.5,0.1,late,0.8194351236891367,0.05212698801889442,3.138242158949193,0.04535886947921012,3.9576772826383295,0.053375509586925725,1.0000000000000009,1.683736582170148e-15,7.5096367341156e-17,1.1016929787540883e-14,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,2.0,0.01,drop,1.0408851814846942,0.03295033768064653,1.6528887108917172,0.015366455288990975,2.693773892376411,0.03632978233174972,0.9947551342812003,0.004542186951915115,0.0,0.0,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,2.0,0.01,late,0.07395048652988369,0.010731142509395164,0.3218172417339497,0.0067943612624202674,0.3957677282638334,0.005337550958695706,,,3.709794125950387e-15,6.4255519117666454e-15,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,2.0,0.05,drop,5.107286956141498,0.4225536794152772,8.361582505740543,0.29564047687523626,13.468869461882042,0.18164891165870434,0.9921327014218017,0.0015734597156383118,0.0,0.0,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,2.0,0.05,late,0.39553938367777625,0.023715871179936423,1.5832992576413905,0.048306923700198436,1.9788386413191665,0.026687754793466092,,,0.0,0.0,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,2.0,0.1,drop,10.236315103125222,0.4137976417801347,16.70142382063886,0.5737723568538133,26.937738923764083,0.36329782331740124,0.9884612954186419,0.006110887560263374,-3.540539510596147e-15,1.677989935393886e-14,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,2.0,0.1,late,0.8074394610062573,0.03541577880202853,3.1502378216320728,0.04571465614916089,3.9576772826383295,0.053375509586925725,1.0000000000000009,1.683736582170148e-15,7.5096367341156e-17,1.1016929787540883e-14,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,10,1.5,0.01,drop,1.0877461689332633,0.08820757822770639,1.5996516493324482,0.08191476013061406,2.687397818265712,0.010408999751554087,0.9737756714060026,0.00908437390383627,0.0,0.0,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,1.5,0.01,late,0.07107516247388522,0.015868380574057542,0.3237557966078043,0.015705152621888777,0.39483095908168947,0.001529284323705989,,,0.0,0.0,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,1.5,0.05,drop,4.979816821262357,0.28341952467160814,8.4571722700662,0.2949605262337542,13.436989091328558,0.05204499875775021,0.9910837282780415,0.002403499416627417,-3.6885811306267944e-15,6.388809926085463e-15,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,1.5,0.05,late,0.38696932386157384,0.015133053463724946,1.5871854715468847,0.0076037232542487555,1.9741547954084584,0.007646421618445648,,,0.0,0.0,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,1.5,0.1,drop,9.903467394941318,0.009246840736290588,16.970510787715803,0.09755488569054249,26.873978182657122,0.1040899975154911,0.9703665086887835,0.007309958096528284,3.910010189605575e-18,1.107160892498181e-14,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,1.5,0.1,late,0.8606989642578723,0.018688628670956872,3.0876106265590515,0.029429533088749352,3.948309590816924,0.015292843236885885,1.0,0.0,0.0,0.0,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,2.0,0.01,drop,0.974814765845152,0.03540974189204996,1.7125830524205596,0.03961633018805962,2.687397818265712,0.010408999751554087,0.9737756714060026,0.00908437390383627,0.0,0.0,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,2.0,0.01,late,0.08421393176377025,0.007969015697796247,0.31061702731791924,0.009196108885037102,0.39483095908168947,0.001529284323705989,,,0.0,0.0,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,2.0,0.05,drop,5.028548503669879,0.377757839827497,8.40844058765868,0.4165105312443851,13.436989091328558,0.05204499875775021,0.9910837282780415,0.002403499416627417,-3.6885811306267944e-15,6.388809926085463e-15,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,2.0,0.05,late,0.40012732009029545,0.015256655452523794,1.574027475318163,0.008867015892201765,1.9741547954084584,0.007646421618445648,,,0.0,0.0,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,2.0,0.1,drop,9.973302669451279,0.33944595373974934,16.900675513205844,0.41967629152872227,26.873978182657122,0.1040899975154911,0.9703665086887835,0.007309958096528284,3.910010189605575e-18,1.107160892498181e-14,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,10,2.0,0.1,late,0.8054967902888558,0.020885238775015073,3.1428128005280684,0.009095676437114144,3.948309590816924,0.015292843236885885,1.0,0.0,0.0,0.0,0.2019,0.0018357559750685661,0.8798019352545383,0.002848252952802237
device_0,20,1.5,0.01,drop,0.9887724703365924,0.13296348539928374,1.7339887347599523,0.09656560732939717,2.722761205096545,0.04377721910400301,0.9632859399684034,0.004542186951917509,0.0,0.0,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
device_0,20,1.5,0.01,late,0.08396005350995739,0.00624124401879959,0.31606647425305195,0.010833496378429923,0.4000265277630093,0.00643172413375703,,,0.0,0.0,0.19583333333333333,0.007571877794400356,0.9321018603002895,0.0019918639026756
