N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,device,device_index,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_run_count_mean,violation_run_count_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,allocation_mean_mean,allocation_mean_std,allocation_max_mean,allocation_max_std,allocation_nonzero_rate_mean,allocation_nonzero_rate_std
2,common,0.0,1.35,0.15,late,device_0,0,J1,0.07862335099771585,0.00020349241325426387,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.049049999999999996,0.0016263455967290641,0.358056,0.0003811305550595966,0.705,0.0,0.99595,0.00035355339059323483
2,common,0.0,1.35,0.15,late,device_0,0,J2,0.05903238069233621,9.438347404898311e-06,0.11915,0.0004949747468305729,4.0,0.0,129.0,7.0710678118654755,1043.5,6.363961030678928,0.6038720538720539,0.005475911100097865,0.0,0.0,0.32945175000000004,0.0004939140866588165,1.0,0.0,0.8808499999999999,0.000494974746830568
2,common,0.0,1.35,0.15,late,device_1,1,I1,0.08598876138728297,0.0005851957620294442,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.0731,0.003394112549695427,0.497975,0.00017677669529661742,0.5,0.0,0.99595,0.00035355339059323483
2,common,0.0,1.35,0.15,late,device_1,1,I2,0.06275549992144366,1.8906298306332586e-05,0.15,0.0,5.0,0.0,196.5,3.5355339059327378,1271.0,11.313708498984761,0.6546666666666667,0.028284271247461808,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,common,0.0,1.35,0.15,late,device_1,1,J1,0.07894270671051395,6.179005052851551e-05,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.05025,0.0003535533905932741,0.35781074999999996,0.00016510943340699829,0.705,0.0,0.99595,0.00035355339059323483
2,common,0.0,1.35,0.15,late,device_1,1,J2,0.061076086867660334,4.6541130827668544e-05,0.15,0.0,5.0,0.0,199.0,9.899494936611665,1269.5,14.849242404917497,0.6306666666666667,0.025455844122715617,0.00405,0.0003535533905932739,0.30485125,3.7123106012242554e-05,1.0,0.0,0.85,0.0
2,common,0.975,1.35,0.15,drop,device_0,0,I1,0.08402764684242514,3.2498182494477544e-05,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.07185,0.0006363961030678865,0.4983,0.0,0.5,0.0,0.9966,0.0
2,common,0.975,1.35,0.15,drop,device_0,0,I2,0.04346831000006117,0.0001820454356145817,0.15,0.0,25.0,2.8284271247461903,288.5,9.192388155425117,389.0,14.142135623730951,1.0,0.0,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,common,0.975,1.35,0.15,drop,device_0,0,J1,0.07739605280833223,7.355009281340219e-05,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.05035,0.0006363961030678914,0.3573845,0.0003436538956566525,0.705,0.0,0.9966,0.0
2,common,0.975,1.35,0.15,drop,device_0,0,J2,0.04123351100067854,4.125099610119773e-05,0.15,0.0,26.5,0.7071067811865476,291.0,8.48528137423857,391.0,14.142135623730951,1.0,0.0,0.0034,0.0,0.30454800000000004,0.0005402295808265327,0.9975,0.0035355339059327017,0.85,0.0
2,common,0.975,1.35,0.15,drop,device_1,1,I1,0.08402764684242514,3.2498182494477544e-05,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.07185,0.0006363961030678865,0.4983,0.0,0.5,0.0,0.9966,0.0
2,common,0.975,1.35,0.15,drop,device_1,1,I2,0.04346831000006117,0.0001820454356145817,0.15,0.0,25.0,2.8284271247461903,288.5,9.192388155425117,389.0,14.142135623730951,1.0,0.0,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,common,0.975,1.35,0.15,drop,device_1,1,J1,0.07747378488252274,0.00014559741876230594,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.05105,0.00021213203435596788,0.35722475,4.631549416769649e-05,0.705,0.0,0.9966,0.0
2,common,0.975,1.35,0.15,drop,device_1,1,J2,0.04246366386476856,0.00014482707508273407,0.14905000000000002,0.0004949747468305974,14.5,2.1213203435596424,308.0,2.8284271247461903,612.5,16.263455967290593,0.8933285259396699,0.002492213236127897,0.0,0.0,0.29543325,9.581296885076507e-05,0.705,0.0,0.85095,0.0004949747468305288
2,common,0.975,1.35,0.15,late,device_0,0,I1,0.0846537400614907,2.9676677156457614e-05,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.07185,0.0006363961030678865,0.4983,0.0,0.5,0.0,0.9966,0.0
2,common,0.975,1.35,0.15,late,device_0,0,I2,0.06166920529910952,0.0001409950538164465,0.15,0.0,10.0,2.8284271247461903,280.0,14.142135623730951,999.0,4.242640687119285,0.6373333333333333,0.0028284271247461927,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,common,0.975,1.35,0.15,late,device_0,0,J1,0.07802214602739779,7.072858747536754e-05,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.05035,0.0006363961030678914,0.3573845,0.0003436538956566525,0.705,0.0,0.9966,0.0
2,common,0.975,1.35,0.15,late,device_0,0,J2,0.0590974175452179,0.0014402322687378768,0.1325,0.024748737341529152,8.5,3.5355339059327378,239.0,59.39696961966999,931.0,124.45079348883236,0.6388695652173912,0.032342449296010746,0.0017,0.0024041630560342614,0.31701275,0.018532208074727607,1.0,0.0,0.8674999999999999,0.024748737341529145
2,common,0.975,1.35,0.15,late,device_1,1,I1,0.0846537400614907,2.9676677156457614e-05,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.07185,0.0006363961030678865,0.4983,0.0,0.5,0.0,0.9966,0.0
2,common,0.975,1.35,0.15,late,device_1,1,I2,0.06166920529910952,0.0001409950538164465,0.15,0.0,10.0,2.8284271247461903,280.0,14.142135623730951,999.0,4.242640687119285,0.6373333333333333,0.0028284271247461927,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
