N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,common,0.0,1703,1.5,67.485,44.99,0.05,late,0.2546009000070626,10000,20
2,common,0.75,1701,1.5,67.485,44.99,0.05,late,0.2558026000042446,10000,20
2,common,0.75,1702,1.5,67.485,44.99,0.05,late,0.2501620999973966,10000,20
2,common,0.75,1703,1.5,67.485,44.99,0.05,late,0.25361379999958444,10000,20
2,common,0.975,1701,1.5,67.485,44.99,0.05,late,0.2508644000045024,10000,20
2,common,0.975,1702,1.5,67.485,44.99,0.05,late,0.25219889999425504,10000,20
2,common,0.975,1703,1.5,67.485,44.99,0.05,late,0.24931909999577329,10000,20
2,independent,0.0,1701,1.5,67.485,44.99,0.15,drop,0.23625129999709316,10000,20
2,independent,0.0,1702,1.5,67.485,44.99,0.15,drop,0.22666770000068936,10000,20
2,independent,0.0,1703,1.5,67.485,44.99,0.15,drop,0.22633119999954943,10000,20
2,independent,0.75,1701,1.5,67.485,44.99,0.15,drop,0.22604949999367818,10000,20
2,independent,0.75,1702,1.5,67.485,44.99,0.15,drop,0.2320140999945579,10000,20
2,independent,0.75,1703,1.5,67.485,44.99,0.15,drop,0.227751200000057,10000,20
2,independent,0.975,1701,1.5,67.485,44.99,0.15,drop,0.22408200000063516,10000,20
2,independent,0.975,1702,1.5,67.485,44.99,0.15,drop,0.2261626000108663,10000,20
2,independent,0.975,1703,1.5,67.485,44.99,0.15,drop,0.22165649999806192,10000,20
2,common,0.0,1701,1.5,67.485,44.99,0.15,drop,0.24900460000208113,10000,20
2,common,0.0,1702,1.5,67.485,44.99,0.15,drop,0.2487397999939276,10000,20
2,common,0.0,1703,1.5,67.485,44.99,0.15,drop,0.24662789999274537,10000,20
2,common,0.75,1701,1.5,67.485,44.99,0.15,drop,0.24622260000614915,10000,20
2,common,0.75,1702,1.5,67.485,44.99,0.15,drop,0.24977370000851806,10000,20
2,common,0.75,1703,1.5,67.485,44.99,0.15,drop,0.2486270999943372,10000,20
2,common,0.975,1701,1.5,67.485,44.99,0.15,drop,0.24444549999316223,10000,20
2,common,0.975,1702,1.5,67.485,44.99,0.15,drop,0.24311480000324082,10000,20
2,common,0.975,1703,1.5,67.485,44.99,0.15,drop,0.25152549998892937,10000,20
2,independent,0.0,1701,1.5,67.485,44.99,0.15,late,0.2538972000038484,10000,20
2,independent,0.0,1702,1.5,67.485,44.99,0.15,late,0.2517896000063047,10000,20
2,independent,0.0,1703,1.5,67.485,44.99,0.15,late,0.24502960000245366,10000,20
2,independent,0.75,1701,1.5,67.485,44.99,0.15,late,0.2389172000112012,10000,20
2,independent,0.75,1702,1.5,67.485,44.99,0.15,late,0.24606809999386314,10000,20
2,independent,0.75,1703,1.5,67.485,44.99,0.15,late,0.2505993000086164,10000,20
2,independent,0.975,1701,1.5,67.485,44.99,0.15,late,0.23256319999927655,10000,20
2,independent,0.975,1702,1.5,67.485,44.99,0.15,late,0.2345465999969747,10000,20
2,independent,0.975,1703,1.5,67.485,44.99,0.15,late,0.23426389999804087,10000,20
2,common,0.0,1701,1.5,67.485,44.99,0.15,late,0.2503448999923421,10000,20
2,common,0.0,1702,1.5,67.485,44.99,0.15,late,0.23971670000173617,10000,20
2,common,0.0,1703,1.5,67.485,44.99,0.15,late,0.24207200000819284,10000,20
2,common,0.75,1701,1.5,67.485,44.99,0.15,late,0.24237940000602975,10000,20
2,common,0.75,1702,1.5,67.485,44.99,0.15,late,0.2447184000047855,10000,20
2,common,0.75,1703,1.5,67.485,44.99,0.15,late,0.23878870000771713,10000,20
2,common,0.975,1701,1.5,67.485,44.99,0.15,late,0.24359569999796804,10000,20
2,common,0.975,1702,1.5,67.485,44.99,0.15,late,0.24074660000042059,10000,20
2,common,0.975,1703,1.5,67.485,44.99,0.15,late,0.24449169999570586,10000,20
4,independent,0.0,1701,1.2,75.456,62.88,0.05,drop,0.8158088000054704,10000,20
4,independent,0.0,1702,1.2,75.456,62.88,0.05,drop,0.8174867999914568,10000,20
