N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I2_violation_spread_mean,J2_violation_spread_mean,I2_jain_index_mean,J2_jain_index_mean
8,independent,0.75,1.35,0.05,drop,0.0,0.007134,1.0,0.9946004403225679
8,independent,0.75,1.35,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.75,1.35,0.15,late,0.0,0.021325999999999994,1.0,0.9965866138420061
8,independent,0.75,1.5,0.05,drop,0.0,0.00015400000000000065,1.0,0.9999910369907765
8,independent,0.75,1.5,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.75,1.5,0.15,late,0.0,0.11587399999999999,1.0,0.6039611036299057
8,independent,0.975,1.2,0.05,drop,0.0,1.0000000000001675e-05,1.0,0.9999999807449264
8,independent,0.975,1.2,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.975,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.975,1.2,0.15,late,0.0,0.0,1.0,1.0
8,independent,0.975,1.35,0.05,drop,0.0,0.008719999999999999,1.0,0.9926456051277952
8,independent,0.975,1.35,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.975,1.35,0.15,late,0.0,0.021934,1.0,0.9964948468997342
8,independent,0.975,1.5,0.05,drop,0.0,0.00022400000000000198,1.0,0.9999909317750462
8,independent,0.975,1.5,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.975,1.5,0.15,late,0.0,0.114532,1.0,0.6078335168081417
