N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,check,passed,detail,severity
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,energy_J2_le_I2,True,"{""I1"": 0.1713470717058395, ""I2"": 0.12469656570003487, ""J1"": 0.14329159423837315, ""J2"": 0.11563915330546051}",required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,energy_J2_le_J1,True,"{""I1"": 0.1713470717058395, ""I2"": 0.12469656570003487, ""J1"": 0.14329159423837315, ""J2"": 0.11563915330546051}",required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,energy_J1_le_I1,True,"{""I1"": 0.1713470717058395, ""I2"": 0.12469656570003487, ""J1"": 0.14329159423837315, ""J2"": 0.11563915330546051}",required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,energy_I2_le_I1,True,"{""I1"": 0.1713470717058395, ""I2"": 0.12469656570003487, ""J1"": 0.14329159423837315, ""J2"": 0.11563915330546051}",required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,capacity_I1_within_one,True,max=1,required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,budget_I1_device_0,True,count=43 budget=1500,required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,budget_I1_device_1,True,count=33 budget=1500,required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,capacity_J1_within_one,True,max=1,required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,budget_J1_device_0,True,count=43 budget=1500,required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,budget_J1_device_1,True,count=33 budget=1500,required
2.0,independent,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,late,capacity_I2_within_one,True,max=1,required
