N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,sha256
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.15,late,c6289d6b9456deb5b7e3488eaa973f32bbfebeb507334ca96dfa42c3c1dfc3d3
2,independent,0.0,1701,1.5,67.485,44.99,0.05,drop,36f13ca727fd8ca07bc84b718596db47eb062fa3ee7d28877df6cc6004882a98
2,independent,0.0,1702,1.5,67.485,44.99,0.05,drop,850157143d2ffa5ddca25330a6858e26562a57ced826d9e5c00dad57405819f6
2,independent,0.0,1703,1.5,67.485,44.99,0.05,drop,c29ccc94ddce3a65c602a80d00e394fde8a25ef62646dc110a8c8bbc9050aae1
2,independent,0.75,1701,1.5,67.485,44.99,0.05,drop,6db93511e6ed90fe5d15a31fb775df1c860c1ce5abbcb2df516351deb1e2e470
2,independent,0.75,1702,1.5,67.485,44.99,0.05,drop,98d28b58e65ddb6668533390bb96425e26fc843881afca560261a1b4e3dbbbcd
2,independent,0.75,1703,1.5,67.485,44.99,0.05,drop,86534251c870509e77bf920bd088bfad9f91ff57d048bd4e48ef063e7c99c3e5
2,independent,0.975,1701,1.5,67.485,44.99,0.05,drop,b7fac277d94a2efe428da0242db5e7749524e333c0b7824c31490995eff28105
2,independent,0.975,1702,1.5,67.485,44.99,0.05,drop,ce8f98e253ed7e9c6049785256183b3b542fcbe580c51497c509c4faaff59b42
2,independent,0.975,1703,1.5,67.485,44.99,0.05,drop,9b8cbf8d21fce4f6a685dff8d8e7202060971be6834119f2267cdcdbe881598a
2,common,0.0,1701,1.5,67.485,44.99,0.05,drop,50b12b95fad270a342cb13cdbcc09bd9a4d17ebb123c76fd7f59413866ebf398
2,common,0.0,1702,1.5,67.485,44.99,0.05,drop,fbcfc0cccee948075fbba82a73e53e331e8f55922f6486292309eea0464c0cac
2,common,0.0,1703,1.5,67.485,44.99,0.05,drop,6395f2d694a95623f21a4778171a90c428f9828e7660e56318acbeeec928e402
2,common,0.75,1701,1.5,67.485,44.99,0.05,drop,3858e809acaec5f9f1b4a75d3d6bef1d7ff6691c96a1f499f3fd002957816b95
2,common,0.75,1702,1.5,67.485,44.99,0.05,drop,af5500eee537bb1f15a350e268c1a7f9e6c621c316690453e5748009bd1f4bad
2,common,0.75,1703,1.5,67.485,44.99,0.05,drop,5e63b6e3bbb03417c6791b94a4a9ff579dc52154cbac51eb71a865d1090abb44
2,common,0.975,1701,1.5,67.485,44.99,0.05,drop,40216fab866c13f6f7706be66d80142642736cd93d475c8ed88cfed3340129e8
2,common,0.975,1702,1.5,67.485,44.99,0.05,drop,09b4a738764b88b936c0e9f8390bb788795870826cfbf256a907da1c15616a03
2,common,0.975,1703,1.5,67.485,44.99,0.05,drop,54ef1a47bc01d5b6617096e0a0fcdbe3cae00afe1aa620a47dbe4b628d9904fd
2,independent,0.0,1701,1.5,67.485,44.99,0.05,late,ec319674088919a56f7e510995485a801f984989ec91b8e9ce0245445294e75c
2,independent,0.0,1702,1.5,67.485,44.99,0.05,late,4cba6e89c6d766dc1a9875546a0fb08913ab27b62668d56510ffbbd955069259
2,independent,0.0,1703,1.5,67.485,44.99,0.05,late,c28d2ba37e2d3cdc4d0eb0b6eede6a65b02f7d57c4eccd80c0bad0ac2e74abf3
2,independent,0.75,1701,1.5,67.485,44.99,0.05,late,363de1b466b21f87668d94272e83dc9e571cf56d4bfe2451b0e48b15fac8b7d1
2,independent,0.75,1702,1.5,67.485,44.99,0.05,late,bc5e97b33ab183426165541d82051e30f1dd1c08143936451d3be851dd89cee8
2,independent,0.75,1703,1.5,67.485,44.99,0.05,late,58ac7365fb2cb1a0299fe46e28fef2cbd3c746ae7393649f2cc796ee024efc4b
2,independent,0.975,1701,1.5,67.485,44.99,0.05,late,c3664482064e0a3822dd98d6d64015c56cdd3cc390dda33d18d39129506b2218
2,independent,0.975,1702,1.5,67.485,44.99,0.05,late,8390c554287176a0661f849a03aad152dbec8c97c343090b54bcde0c880afe10
2,independent,0.975,1703,1.5,67.485,44.99,0.05,late,4c4504f4687fa4b5571d498912c22c4764a3614c02c1a0a6392a411458bee817
2,common,0.0,1701,1.5,67.485,44.99,0.05,late,47b7d8686bd6b38dae69a62076f4878d556705887a87f64b9ba8701345cdfa43
2,common,0.0,1702,1.5,67.485,44.99,0.05,late,2f4d9a259cc250ae7338dc60467c1fe1d51ecef77438ec509c0626c42f5f2642
2,common,0.0,1703,1.5,67.485,44.99,0.05,late,0a3fad06f6f17e48f313d187e5560ee210b27ddb48c41a5969225214e741d993
2,common,0.75,1701,1.5,67.485,44.99,0.05,late,f43724540db93bc3c7a4f8c65e3dfb457137a6ec510dc7fe1e30426e25557ba0
2,common,0.75,1702,1.5,67.485,44.99,0.05,late,aedada63043f8e85b348b39083ca1bab6fb0bfec5e801a5997f79c87623df121
2,common,0.75,1703,1.5,67.485,44.99,0.05,late,89bc9b3b95862fd3cd28ec1cab0d78481d22b517eec7d0b5e7cdb5e832022519
2,common,0.975,1701,1.5,67.485,44.99,0.05,late,8f7a985ee2eb042a6fddc72c484c0f2a4c6ff0b04fe3ce7939e06b0895af6507
2,common,0.975,1702,1.5,67.485,44.99,0.05,late,7f0ea4641cc4159c0aa8d137083b3ada421e6259ecbbcd68e9c7f54568666aa2
2,common,0.975,1703,1.5,67.485,44.99,0.05,late,5eb7957b220ee24a6baf06fca02fe3d8e7f8b4f26018f6bf68b4476a05e4aec4
2,independent,0.0,1701,1.5,67.485,44.99,0.15,drop,6574947bbf23d57a125e91d1455355267494f7509cf646646c0e5e00b1cda6b9
2,independent,0.0,1702,1.5,67.485,44.99,0.15,drop,66a8aba56a3394aa17dda171a5501d298787d4a999f43c1fd7fe7245d13a0188
2,independent,0.0,1703,1.5,67.485,44.99,0.15,drop,b406030e1cd51319e49033dd8be37faeff9815e6cb65d1bfe69321d9c31b08d3
2,independent,0.75,1701,1.5,67.485,44.99,0.15,drop,e03aaf3cf65fe46db51fa2c045b38f84cd92e0950ea8c3dcabed65cdc4f7b3e4
