N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,common,0.975,1708,1.2,53.988,44.99,0.15,drop,9.805742799988366,50000,20
2,common,0.975,1709,1.2,53.988,44.99,0.15,drop,9.770641800001613,50000,20
2,common,0.975,1710,1.2,53.988,44.99,0.15,drop,9.3903699000075,50000,20
2,independent,0.0,1701,1.2,53.988,44.99,0.15,late,1.5090793999988819,50000,20
2,independent,0.0,1702,1.2,53.988,44.99,0.15,late,1.5961979999992764,50000,20
2,independent,0.0,1703,1.2,53.988,44.99,0.15,late,1.5757716999942204,50000,20
2,independent,0.0,1704,1.2,53.988,44.99,0.15,late,1.522162200009916,50000,20
2,independent,0.0,1705,1.2,53.988,44.99,0.15,late,1.5400745999941137,50000,20
2,independent,0.0,1706,1.2,53.988,44.99,0.15,late,1.638430499995593,50000,20
2,independent,0.0,1707,1.2,53.988,44.99,0.15,late,1.6042134999879636,50000,20
2,independent,0.0,1708,1.2,53.988,44.99,0.15,late,1.6285452000010991,50000,20
2,independent,0.0,1709,1.2,53.988,44.99,0.15,late,1.5295100000075763,50000,20
2,independent,0.0,1710,1.2,53.988,44.99,0.15,late,1.6751075000065612,50000,20
2,independent,0.75,1701,1.2,53.988,44.99,0.15,late,1.3563634000020102,50000,20
2,independent,0.75,1702,1.2,53.988,44.99,0.15,late,1.7183828999986872,50000,20
2,independent,0.75,1703,1.2,53.988,44.99,0.15,late,1.4586873999942327,50000,20
2,independent,0.75,1704,1.2,53.988,44.99,0.15,late,1.4117173999984516,50000,20
2,independent,0.75,1705,1.2,53.988,44.99,0.15,late,1.4307287999981781,50000,20
2,independent,0.75,1706,1.2,53.988,44.99,0.15,late,1.305705199993099,50000,20
2,independent,0.75,1707,1.2,53.988,44.99,0.15,late,1.3788416000024881,50000,20
2,independent,0.75,1708,1.2,53.988,44.99,0.15,late,1.5522799999889685,50000,20
2,independent,0.75,1709,1.2,53.988,44.99,0.15,late,1.4491124999913154,50000,20
2,independent,0.75,1710,1.2,53.988,44.99,0.15,late,1.4493002999952296,50000,20
2,independent,0.975,1701,1.2,53.988,44.99,0.15,late,1.4037489000038477,50000,20
