device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,0.0,1702,1.5,54.0675,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,1473,e0ef0cc5e4afa27c49c8fcc9b78894dadfa7075bd649bddfa7eaa4d122106b2f
device_0,0.0,1702,2.0,72.09,0.01,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,100,f6d1bcbcc6a08db9f54e9b7c74ee361bb39d6d6e6054c192409d346c1a0b039a
device_0,0.0,1702,2.0,72.09,0.01,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,100,91c82e3a2635c9106a35019b451b505082790225e982f984bd2b12cf903e3aa9
device_0,0.0,1702,2.0,72.09,0.05,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,500,4eef4da470f34d7e0b8038a0798d1299ab0be9a8f7842e13f0da36e28096d8a3
device_0,0.0,1702,2.0,72.09,0.05,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,500,1afcaa98d2afad0e0da6be1e721b15c452d1cd4ab29b7f8685475d621dcfcf65
device_0,0.0,1702,2.0,72.09,0.1,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,1000,45efa69779bd2e4ca7ae51dbbf2be2c63e9dbdd1b16c60830da579b3ac537d4c
device_0,0.0,1702,2.0,72.09,0.1,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,1000,cffc0b0ebd17f6e4e4c873c2dd995f1368454da2339f990f3bcaf80a0596394b
device_0,0.0,1702,2.0,72.09,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,1500,57ee40696e9e7db2f3ce61313ee9c47a8393227bb0307a0712453c50be02a146
device_0,0.0,1702,2.0,72.09,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,1500,99d8e3ede8993fa28694c5adf0d9811e56fc24f145507b10b23d8da0d2c6ba5e
device_0,0.75,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,746,754,06bd8c335e6701f4859fa558470a3deddf535bf3bc2beb30a7df7c2454330d66
device_0,0.75,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,746,754,5ec167377627747ff2ff0d1e4ec76cad3cff1f28b251498fc616b8d8eb09e9e8
device_0,0.75,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,637,32efb073ad456fbd4500337f1a221f3977baec150a84d0fe4e58f148f1927f48
device_0,0.75,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,637,0130d9149dfa7ad15e0b707e6495639c0942a1b5ee1beb46431ba0292a0c8f3b
device_0,0.75,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,1137,06e4c01574a5f352e0313ade3a624d2d05f088abdc6164fbf55b8ed961160c71
device_0,0.75,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,1137,6fa4ace9a68fca5fa236fa3edea0a5b3c5138cc7ef21db8d025ac3a8549ee0f4
device_0,0.75,1701,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,418,03880c26a6da1e10fd3713874c5525084db337cdca918788513a25a58635d9e6
device_0,0.75,1701,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,418,ecac57da41394409c63857cfa961efb4eecbbeb45c98aeabdf7c8062d15b4c90
device_0,0.75,1701,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,918,495a6f84085879620ae8b57cd3491e541dd1a137cbaa2efee77e93e29d034010
device_0,0.75,1701,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,918,7f2779d93ebac67f1e28cd80c071012b82cfe423f00f02043cb7a47b5428be5e
device_0,0.75,1701,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,1418,844d296ca88a198aff4566159538881d02f3d09f71eda15c47280be2add0240a
device_0,0.75,1701,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,1418,ef905ed1bbb26542e19bcf7be0fb42d0431f2dcbcdf5fb4ab568b7ab63b673db
