device,rho,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,boost_use_rate_good_mean,boost_use_rate_good_std,boost_use_rate_bad_mean,boost_use_rate_bad_std,selected_v_mean,selected_v_std
device_0,0.0,1.2,0.1,drop,P0,0.11018469758006502,0.0007323592434164745,0.1,0.0,3.0,0.0,91.5,4.949747468305833,0.45,0.012727922061357866,0.14925,0.001626345596729047,0.0,0.0,0.7307266832286463,0.008721449863405308,,
device_0,0.0,1.2,0.1,drop,P1,0.118468878896957,0.00019659204978697453,0.032549999999999996,7.071067811864941e-05,3.0,0.0,12.5,2.1213203435596424,1.0,0.0,0.16105,7.071067811864696e-05,0.0,0.0,0.788494737528417,0.0004727261426302342,,
device_0,0.0,1.2,0.1,drop,P2,0.09210585281256226,0.00022140424223941052,0.1,0.0,4.0,0.0,96.0,9.899494936611665,1.0,0.0,0.0936,0.0,0.0,0.0,0.4582621810612387,0.00047594657888336256,,
device_0,0.0,1.2,0.1,drop,P2prime,0.09213285366114979,0.00022009551270187294,0.1,0.0,3.0,0.0,12.5,2.1213203435596424,1.0,0.0,0.0936,0.0,0.0,0.0,0.4582621810612387,0.00047594657888336256,,
device_0,0.0,1.2,0.1,drop,P3,0.0924036924693694,0.00024233362189453637,0.10025,0.00021213203435596541,3.0,0.0,56.0,1.4142135623730951,0.9940179342569782,0.0028087154583432,0.09395,7.071067811865187e-05,0.0,0.0,0.45997558849840503,0.00013152939644359358,10.0,0.0
device_0,0.0,1.2,0.1,late,P0,0.11916117730198778,4.6404598170373895e-05,0.1,0.0,3.5,0.7071067811865476,94.0,8.48528137423857,0.4495,0.006363961030678933,0.1495,0.0002828427124746271,0.0,0.0,0.7319458200816721,0.00062459513646188,,
device_0,0.0,1.2,0.1,late,P1,0.12398570268028593,0.00019016548401901807,0.032549999999999996,7.071067811864941e-05,3.0,0.0,12.5,2.1213203435596424,1.0,0.0,0.16105,7.071067811864696e-05,0.0,0.0,0.788494737528417,0.0004727261426302342,,
device_0,0.0,1.2,0.1,late,P2,0.1046735597293079,0.000217168961609846,0.1,0.0,4.0,0.0,93.0,7.0710678118654755,1.0,0.0,0.0936,0.0,0.0,0.0,0.4582621810612387,0.00047594657888336256,,
device_0,0.0,1.2,0.1,late,P2prime,0.10475535436190134,0.000214704338969684,0.1,0.0,3.0,0.0,12.5,2.1213203435596424,1.0,0.0,0.0936,0.0,0.0,0.0,0.4582621810612387,0.00047594657888336256,,
device_0,0.0,1.2,0.1,late,P3,0.10566002290183366,0.0001624446740474201,0.1002,0.00014142135623731355,3.0,0.0,54.0,9.899494936611665,0.9835354077627259,0.003505238978335265,0.09505,0.00021213203435597523,0.0,0.0,0.46536078876188813,0.0005552710086972041,10.0,0.0
device_0,0.0,1.2,0.15,drop,P0,0.10454556587601901,0.0006993053109334007,0.15,0.0,4.5,0.7071067811865476,192.0,18.384776310850235,0.349,0.0032998316455372313,0.1423,0.0007071067811865482,0.0,0.0,0.6966973999737285,0.0041855501491970155,,
device_0,0.0,1.2,0.15,drop,P1,0.118468878896957,0.00019659204978697453,0.032549999999999996,7.071067811864941e-05,3.0,0.0,12.5,2.1213203435596424,1.0,0.0,0.16105,7.071067811864696e-05,0.0,0.0,0.788494737528417,0.0004727261426302342,,
device_0,0.0,1.2,0.15,drop,P2,0.07279846787491093,0.00022279160464169784,0.15,0.0,4.5,0.7071067811865476,190.5,4.949747468305833,1.0,0.0,0.0436,0.0,0.0,0.0,0.21346400741741461,0.0002217016115311296,,
device_0,0.0,1.2,0.15,drop,P2prime,0.07288886710342736,0.00021642035415705716,0.15,0.0,3.0,0.0,12.5,2.1213203435596424,1.0,0.0,0.0436,0.0,0.0,0.0,0.21346400741741461,0.0002217016115311296,,
device_0,0.0,1.2,0.15,drop,P3,0.07469340981192915,0.00034447496037725417,0.15015,7.071067811864696e-05,4.0,0.0,158.0,4.242640687119285,0.9540452836147406,0.002847243142659182,0.050699999999999995,0.0004242640687119235,0.0,0.0,0.24822642674488063,0.0023349857801627173,10.0,0.0
device_0,0.0,1.2,0.15,late,P0,0.11539498985908189,1.658667164938577e-05,0.15,0.0,4.5,0.7071067811865476,195.5,3.5355339059327378,0.3596666666666667,0.007071067811865462,0.1407,0.0012727922061357927,0.0,0.0,0.688858824623592,0.0055160988116735345,,
device_0,0.0,1.2,0.15,late,P1,0.12398570268028593,0.00019016548401901807,0.032549999999999996,7.071067811864941e-05,3.0,0.0,12.5,2.1213203435596424,1.0,0.0,0.16105,7.071067811864696e-05,0.0,0.0,0.788494737528417,0.0004727261426302342,,
device_0,0.0,1.2,0.15,late,P2,0.0912472166397826,0.00021696370605498228,0.15,0.0,4.5,0.7071067811865476,180.5,4.949747468305833,1.0,0.0,0.0436,0.0,0.0,0.0,0.21346400741741461,0.0002217016115311296,,
device_0,0.0,1.2,0.15,late,P2prime,0.09159498751498663,0.00022153384857832858,0.15,0.0,3.0,0.0,12.5,2.1213203435596424,1.0,0.0,0.0436,0.0,0.0,0.0,0.21346400741741461,0.0002217016115311296,,
device_0,0.0,1.2,0.15,late,P3,0.09400130405316293,0.00018717464741077212,0.1501,0.00014142135623730373,3.5,0.7071067811865476,139.0,19.79898987322333,0.9217199289835775,0.002281698313016504,0.05555,7.071067811864941e-05,0.0,0.0,0.2719705911399481,6.373073848292875e-05,10.0,0.0
